Date,AAPL,JNJ,JPM,MSFT,XOM
2015-01-02,24.19260597229004,76.11090850830078,46.2743034362793,39.68173599243164,57.14555740356445
2015-01-05,23.511062622070312,75.57931518554688,44.837730407714844,39.31683349609375,55.58194351196289
2015-01-06,23.513275146484375,75.20793914794922,43.675132751464844,38.73978042602539,55.28644561767578
2015-01-07,23.842979431152344,76.86824035644531,43.74177551269531,39.23197555541992,55.846675872802734
2015-01-08,24.75908088684082,77.4726333618164,44.71924591064453,40.386104583740234,56.77620315551758
2015-01-09,24.785634994506836,76.41676330566406,43.94172286987305,40.04663848876953,56.696163177490234
2015-01-12,24.174901962280273,76.15460205078125,43.56406021118164,39.54596710205078,55.606563568115234
2015-01-13,24.38954734802246,76.2856674194336,43.57147216796875,39.342288970947266,55.40340805053711
2015-01-14,24.296602249145508,75.73223114013672,42.0682373046875,39.00285339355469,55.243370056152344
2015-01-15,23.637189865112305,74.63265991210938,40.720516204833984,38.59550094604492,54.763214111328125
2015-01-16,23.45353126525879,75.76136779785156,41.41657638549805,39.240455627441406,56.0928955078125
2015-01-20,24.057626724243164,73.75882720947266,41.25367736816406,39.36775207519531,56.074424743652344
2015-01-21,24.241281509399414,74.20304870605469,41.386959075927734,38.96889877319336,56.55458068847656
2015-01-22,24.871936798095703,75.5574722290039,42.64582061767578,39.995731353759766,57.170166015625
2015-01-23,25.000274658203125,74.4214859008789,41.971981048583984,40.03817367553711,55.9512939453125
2015-01-26,25.02682876586914,74.4651870727539,42.038604736328125,39.893898010253906,56.48688507080078
2015-01-27,24.15055274963379,74.34137725830078,41.616519927978516,36.20237731933594,55.98823165893555
2015-01-28,25.515857696533203,73.89720916748047,40.54279327392578,34.954898834228516,54.14143753051758
2015-01-29,26.310251235961914,74.55256652832031,41.224063873291016,35.65077209472656,53.91368103027344
2015-01-30,25.92522621154785,72.92140197753906,40.26879119873047,34.28448486328125,53.815208435058594
2015-02-02,26.250513076782227,73.42387390136719,41.07595443725586,35.03125762939453,55.14487075805664
2015-02-03,26.25493812561035,74.61079406738281,42.001583099365234,35.30282211303711,56.788490295410156
2015-02-04,26.456298828125,73.80980682373047,41.749820709228516,35.506500244140625,56.30216979980469
2015-02-05,26.6451358795166,74.61079406738281,42.038604736328125,36.02415466308594,56.85623550415039
2015-02-06,26.420761108398438,73.62049102783203,42.867984771728516,35.99020767211914,56.750789642333984
2015-02-09,26.596256256103516,72.65925598144531,42.81615447998047,35.94778823852539,56.7879753112793
2015-02-10,27.107219696044922,73.07432556152344,43.290069580078125,36.15145492553711,56.44686508178711
2015-02-11,27.742578506469727,73.09619140625,43.22342300415039,35.96476364135742,56.19258117675781
2015-02-12,28.093582153320312,71.68347930908203,44.112030029296875,36.56727981567383,57.29038619995117
2015-02-13,28.2313232421875,72.54276275634766,44.18607711791992,37.229217529296875,57.910606384277344
2015-02-17,28.39792823791504,73.13988494873047,44.50450134277344,37.246315002441406,57.71215057373047
2015-02-18,28.595645904541016,72.79033660888672,43.96393585205078,37.20355987548828,56.44686508178711
2015-02-19,28.53566551208496,73.3292007446289,43.86026382446289,37.17792510986328,55.473114013671875
2015-02-20,28.768924713134766,73.5198745727539,44.2823486328125,37.485618591308594,55.77080535888672
2015-02-23,29.546470642089844,73.46116638183594,43.949119567871094,37.733463287353516,55.2064208984375
2015-02-24,29.36208152770996,73.8425064086914,45.03767013549805,37.68217849731445,55.46072006225586
2015-02-25,28.611194610595703,74.21647644042969,45.27463150024414,37.59671401977539,55.57235336303711
2015-02-26,28.97330665588379,75.38241577148438,45.600460052490234,37.65653610229492,54.983131408691406
2015-02-27,28.537885665893555,75.16976928710938,45.3783073425293,37.47706985473633,54.9149169921875
2015-03-02,28.677845001220703,75.6904067993164,45.741153717041016,37.502716064453125,54.60478973388672
2015-03-03,28.737821578979492,75.04512023925781,45.889259338378906,36.98989486694336,54.34431076049805
2015-03-04,28.55565643310547,74.53913116455078,46.00773239135742,36.801883697509766,54.071388244628906
2015-03-05,28.08246612548828,75.17709350585938,45.911476135253906,36.8446044921875,53.798500061035156
2015-03-06,28.124683380126953,73.40985870361328,45.089500427246094,36.20361328125,53.11006164550781
2015-03-09,28.244632720947266,73.81317138671875,45.54120635986328,36.62239456176758,52.818546295166016
2015-03-10,27.660377502441406,72.98455047607422,44.40082931518555,35.92158126831055,52.26034927368164
2015-03-11,27.156084060668945,72.09725189208984,44.60817337036133,35.878822326660156,52.11146545410156
2015-03-12,27.647048950195312,73.20455169677734,45.44493865966797,35.05835723876953,52.23552322387695
2015-03-13,27.45600128173828,72.7499008178711,45.170955657958984,35.36604309082031,52.018455505371094
2015-03-16,27.758129119873047,74.10648345947266,45.800384521484375,35.5198860168457,52.570465087890625
2015-03-17,28.222429275512695,73.24853515625,45.622650146484375,35.63954544067383,52.14870071411133
2015-03-18,28.54010581970215,74.39982604980469,45.726348876953125,36.323272705078125,53.382957458496094
2015-03-19,28.324621200561523,74.56846618652344,45.319053649902344,36.14377975463867,52.35337448120117
2015-03-20,27.969181060791016,75.08909606933594,45.726348876953125,36.648048400878906,52.43400192260742
2015-03-23,28.26019287109375,75.51438903808594,45.27463150024414,36.63093948364258,52.986019134521484
2015-03-24,28.14467430114746,74.76643371582031,44.77107620239258,36.66514587402344,52.42160415649414
2015-03-25,27.40934181213379,73.57852172851562,44.14166259765625,35.43441390991211,52.63248062133789
2015-03-26,27.600393295288086,73.43185424804688,44.08982849121094,35.22074890136719,52.29754638671875
2015-03-27,27.380460739135742,73.57852172851562,44.097225189208984,35.01563262939453,51.838584899902344
2015-03-30,28.07358741760254,74.4657974243164,45.14134216308594,35.007083892822266,53.11006164550781
2015-03-31,27.642606735229492,73.76914978027344,44.859947204589844,34.75068283081055,52.71932601928711
2015-04-01,27.602622985839844,72.70590209960938,44.68849182128906,34.80195236206055,52.3843879699707
2015-04-02,27.84032440185547,73.0652084350586,45.11339569091797,34.4344596862793,52.28514862060547
2015-04-06,28.291297912597656,72.7132339477539,45.07611846923828,35.5113410949707,52.79993438720703
2015-04-07,27.993606567382812,73.40255737304688,45.3593864440918,35.49424743652344,53.18445587158203
2015-04-08,27.902524948120117,73.44651794433594,45.50846862792969,35.40021896362305,52.13628387451172
2015-04-09,28.115793228149414,74.3044662475586,45.82154846191406,35.45150375366211,52.502220153808594
2015-04-10,28.235763549804688,74.83978271484375,45.993003845214844,35.656639099121094,53.06662368774414
2015-04-13,28.180227279663086,73.73250579833984,46.26881408691406,35.690818786621094,52.9301872253418
2015-04-14,28.058034896850586,73.71049499511719,46.99187088012695,35.596805572509766,53.73027801513672
2015-04-15,28.164670944213867,73.76914978027344,47.8640251159668,36.11814498901367,54.62961196899414
2015-04-16,28.029151916503906,73.1751937866211,47.56585693359375,36.03267288208008,54.41252517700195
2015-04-17,27.71369171142578,73.0212173461914,46.8427848815918,35.571163177490234,53.91635513305664
2015-04-20,28.34682846069336,73.4831771850586,47.14095687866211,36.673683166503906,54.108604431152344
2015-04-21,28.19354820251465,73.54920196533203,46.447715759277344,36.44292449951172,53.88532638549805
2015-04-22,28.57342529296875,73.64450073242188,46.91733169555664,36.74205017089844,54.24507141113281
2015-04-23,28.806690216064453,73.66649627685547,46.81296157836914,37.04118347167969,54.29469299316406
2015-04-24,28.94220542907715,74.12113189697266,46.663883209228516,40.91282272338867,53.941158294677734
2015-04-27,29.468706130981445,73.7545166015625,46.470062255859375,41.04956817626953,53.96598815917969
2015-04-28,29.004413604736328,73.8718490600586,46.78314208984375,42.015342712402344,54.455955505371094
2015-04-29,28.577877044677734,73.61518096923828,47.40932083129883,41.929866790771484,54.499366760253906
2015-04-30,27.802560806274414,72.74256896972656,47.155860900878906,41.57090377807617,54.189247131347656
2015-05-01,28.646739959716797,73.42448425292969,47.4167594909668,41.588008880615234,55.107173919677734
2015-05-04,28.591203689575195,73.58585357666016,48.24420166015625,41.229042053222656,55.2684211730957
2015-05-05,27.94695472717285,72.96257019042969,48.00566482543945,40.68205261230469,54.958335876464844
2015-05-06,27.771451950073242,72.7205581665039,47.647857666015625,39.55390167236328,54.697811126708984
2015-05-07,27.9432315826416,73.07987213134766,48.08019256591797,39.91286087036133,54.331905364990234
2015-05-08,28.469703674316406,74.40711975097656,48.81817626953125,40.81025695800781,55.19401550292969
2015-05-11,28.179697036743164,74.0844955444336,48.788352966308594,40.48548889160156,54.268489837646484
2015-05-12,28.079307556152344,73.6738510131836,48.72126007080078,40.4683952331543,54.418582916259766
2015-05-13,28.11054039001465,73.73250579833984,48.84052658081055,40.707698822021484,54.13090896606445
2015-05-14,28.76639747619629,74.67111206054688,49.235626220703125,41.6392822265625,54.38730239868164
2015-05-15,28.726247787475586,75.01575469970703,49.10888671875,41.28032684326172,54.62493896484375
2015-05-18,29.043025970458984,75.83704376220703,49.51142120361328,41.0324821472168,54.31227493286133
2015-05-19,29.016263961791992,76.23303985595703,49.95122146606445,40.92924499511719,54.399818420410156
2015-05-20,29.01402473449707,75.96904754638672,49.55615997314453,40.92924499511719,54.48735046386719
2015-05-21,29.310714721679688,75.65145111083984,49.682865142822266,40.79161071777344,54.53738784790039
2015-05-22,29.5672550201416,74.86106872558594,49.54871368408203,40.34429931640625,54.10588455200195
2015-05-26,28.915868759155273,74.46959686279297,48.99707794189453,40.07763671875,53.37421417236328
2015-05-27,29.45572280883789,74.6986083984375,49.54871368408203,40.955055236816406,53.224151611328125
2015-05-28,29.39772605895996,74.7133560180664,49.34742736816406,40.81741714477539,53.224151611328125
2015-05-29,29.0631046295166,73.96734619140625,49.03434753417969,40.309871673583984,53.280426025390625
2015-06-01,29.12110137939453,73.89348602294922,49.257972717285156,40.62816619873047,53.23662185668945
2015-06-02,28.99172019958496,73.84919738769531,49.2132453918457,40.36149215698242,53.2429084777832
2015-06-03,29.027402877807617,73.9303970336914,49.72014236450195,40.301292419433594,53.12406539916992
2015-06-04,28.85786247253418,73.29519653320312,49.4443359375,39.879783630371094,52.66756057739258
2015-06-05,28.699474334716797,72.82244873046875,50.25685119628906,39.69052505493164,52.70509338378906
2015-06-08,28.509859085083008,72.35710906982422,49.861793518066406,39.33783721923828,53.06154251098633
2015-06-09,28.425081253051758,72.54176330566406,50.077938079833984,39.26900863647461,52.89269256591797
2015-06-10,28.750782012939453,73.03665924072266,50.883018493652344,40.09482955932617,53.28667068481445
2015-06-11,28.686094284057617,73.30254364013672,51.076812744140625,39.948604583740234,53.21162414550781
2015-06-12,28.369312286376953,72.64517974853516,50.87556076049805,39.54430389404297,52.54250717163086
2015-06-15,28.313547134399414,72.00994110107422,50.681739807128906,39.1227912902832,52.35487747192383
2015-06-16,28.465238571166992,72.65255737304688,50.965003967285156,39.42387771606445,52.95526123046875
2015-06-17,28.3983211517334,72.92587280273438,50.79356384277344,39.54430389404297,52.98649978637695
2015-06-18,28.5277042388916,74.12983703613281,51.27063751220703,40.189453125,53.455528259277344
2015-06-19,28.24216079711914,73.76050567626953,50.74884796142578,39.65612030029297,53.28667068481445
2015-06-22,28.467466354370117,73.9303970336914,51.404815673828125,39.767940521240234,53.26167297363281
2015-06-23,28.338085174560547,73.7014389038086,51.99369812011719,39.492679595947266,53.199127197265625
2015-06-24,28.579015731811523,73.3690414428711,51.449546813964844,39.260414123535156,52.95526123046875
2015-06-25,28.44293212890625,73.21392059326172,51.173728942871094,39.26900863647461,52.4862174987793
2015-06-26,28.275623321533203,73.59803009033203,51.39735794067383,38.933528900146484,52.44245529174805
2015-06-29,27.780376434326172,72.15029907226562,50.09284973144531,38.16792678833008,51.79207229614258
2015-06-30,27.981155395507812,71.98777770996094,50.51028823852539,37.97869873046875,52.029701232910156
2015-07-01,28.24216079711914,72.73381805419922,51.07303237915039,38.23676300048828,51.51066589355469
2015-07-02,28.206470489501953,72.7116470336914,50.660369873046875,38.193748474121094,51.9921875
2015-07-06,28.108306884765625,72.53437805175781,50.517799377441406,38.18513488769531,51.61071014404297
2015-07-07,28.039152145385742,73.06622314453125,50.12015151977539,38.107723236083984,51.82334518432617
2015-07-08,27.3431396484375,72.216796875,49.092220306396484,38.056114196777344,51.260520935058594
2015-07-09,26.78543472290039,72.6821060180664,49.60243606567383,38.29697799682617,51.02914047241211
2015-07-10,27.501522064208984,73.51679229736328,50.30771255493164,38.37439727783203,51.41685485839844
2015-07-13,28.0324649810791,74.06336975097656,51.088035583496094,39.174400329589844,51.54191207885742
2015-07-14,28.02130889892578,73.7014389038086,51.80081558227539,39.24319839477539,51.97342300415039
2015-07-15,28.29123878479004,74.17417907714844,51.913368225097656,39.36363983154297,51.754547119140625
2015-07-16,28.668243408203125,74.6838150024414,52.19096755981445,40.13783645629883,51.84834289550781
2015-07-17,28.915868759155273,73.92303466796875,51.92838668823242,40.103424072265625,51.66074752807617
2015-07-20,29.46240997314453,74.1372299194336,51.96586990356445,40.36149215698242,51.12919998168945
2015-07-21,29.167943954467773,74.11506652832031,51.845848083496094,40.671173095703125,51.066650390625
2015-07-22,27.93431282043457,73.99687194824219,52.581138610839844,39.174400329589844,51.147945404052734
2015-07-23,27.92091941833496,74.01163482666016,52.251014709472656,39.66472244262695,50.741458892822266
2015-07-24,27.7736759185791,73.23609161376953,51.70328140258789,39.51848220825195,49.99104309082031
2015-07-27,27.387760162353516,72.59346771240234,51.02800750732422,39.010955810546875,49.56581115722656
2015-07-28,27.523836135864258,73.14006042480469,51.05802917480469,39.002349853515625,51.5794563293457
2015-07-29,27.436830520629883,73.66448211669922,51.725791931152344,39.81956481933594,51.9921875
2015-07-30,27.29852294921875,73.74574279785156,51.80081558227539,40.327083587646484,51.91088104248047
2015-07-31,27.059823989868164,74.01905059814453,51.41815185546875,40.17224884033203,49.53452682495117
2015-08-03,26.42180824279785,73.87870025634766,51.41815185546875,40.26687240600586,48.81536865234375
2015-08-04,25.574100494384766,73.71620178222656,51.36563491821289,40.89483642578125,48.25879669189453
2015-08-05,25.743633270263672,74.24800872802734,51.5682258605957,40.92924499511719,48.25879669189453
2015-08-06,25.799667358398438,73.177001953125,51.20808029174805,40.103424072265625,48.834136962890625
2015-08-07,25.887060165405273,73.01448059082031,51.05802917480469,40.206661224365234,48.04617691040039
2015-08-10,26.8282470703125,73.70880126953125,51.68828201293945,40.71418762207031,49.246856689453125
2015-08-11,25.432151794433594,73.13265991210938,51.19307327270508,39.92280197143555,48.91230773925781
2015-08-12,25.824316024780273,72.91109466552734,50.45027160644531,40.206661224365234,49.7328987121582
2015-08-13,25.80415153503418,72.74118041992188,50.6828727722168,40.19804763793945,49.6445426940918
2015-08-14,25.98566436767578,72.98492431640625,50.93796920776367,40.43031692504883,49.46147537231445
2015-08-17,26.25457191467285,73.76789855957031,51.07303237915039,40.705596923828125,49.72028350830078
2015-08-18,26.106670379638672,73.39862823486328,51.17808151245117,40.930721282958984,49.17111587524414
2015-08-19,25.772769927978516,73.35425567626953,50.72037887573242,40.35923385620117,48.117000579833984
2015-08-20,25.243921279907227,72.9701919555664,49.474884033203125,39.5366325378418,47.06919860839844
2015-08-21,23.69993019104004,71.12434387207031,47.71917724609375,37.293975830078125,45.529048919677734
2015-08-24,23.108325958251953,69.0849838256836,45.205665588378906,36.09038162231445,43.376625061035156
2015-08-25,23.247262954711914,67.52942657470703,44.950557708740234,35.04265594482422,43.370323181152344
2015-08-26,24.58060073852539,70.78941345214844,47.201473236083984,36.98225402832031,45.76258850097656
2015-08-27,25.30442237854004,71.6155776977539,48.37945556640625,38.01265335083008,47.245941162109375
2015-08-28,25.38733673095703,70.83403778076172,48.11683654785156,38.038639068603516,47.38481140136719
2015-08-31,25.268569946289062,69.94837188720703,48.094322204589844,37.683624267578125,47.49211883544922
2015-09-01,24.139142990112305,68.54163360595703,46.10601806640625,36.21159362792969,45.497501373291016
2015-09-02,25.174453735351562,69.47946166992188,46.94636917114258,37.54508972167969,46.2233772277832
2015-09-03,24.732990264892578,68.95101928710938,47.02890396118164,37.66630554199219,46.57686233520508
2015-09-04,24.48648452758789,67.96109771728516,46.14353942871094,36.89566421508789,45.73735427856445
