,Total Return,CAGR,Ann. Volatility,Sharpe,Sortino,Max Drawdown
QuantMind PPO,0.4142138107128137,0.12332577482811247,0.159794598655248,0.8076939410481013,1.1998587724659586,-0.13358364881968102
Buy & Hold (1/N),0.4203408035438432,0.12495647673540189,0.1601684253486827,0.8152625559875392,1.1955157971400516,-0.1276134941129485
Best asset (XOM),0.8506205057282843,0.22941650035783545,0.27227466203972844,0.8949701619028199,1.346366422582254,-0.2050866650031363
